Mon Jun  9 00:35:31 2025    hub_simulation.prof

         184273617 function calls (184264004 primitive calls) in 199.974 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3922    0.001    0.000    0.001    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2584(_all_dispatcher)
     1961    0.001    0.000    0.001    0.000 {built-in method builtins.all}
     1961    0.001    0.000    0.001    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/scipy/stats/_distn_infrastructure.py:985(_argcheck)
        2    0.000    0.000    0.001    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/networkx/utils/decorators.py:719(_lazy_compile)
     3917    0.001    0.000    0.001    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/simpy/core.py:115(now)
        2    0.000    0.000    0.001    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/networkx/utils/decorators.py:873(compile)
     1855    0.001    0.000    0.001    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/networkx/classes/digraph.py:1246(is_multigraph)
     1936    0.001    0.000    0.001    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/scipy/stats/_distn_infrastructure.py:830(<genexpr>)
     1936    0.001    0.000    0.001    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/scipy/stats/_distn_infrastructure.py:997(_get_support)
       12    0.001    0.000    0.001    0.000 {built-in method builtins.print}
     3872    0.001    0.000    0.001    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/inspect.py:2789(annotation)
        2    0.000    0.000    0.001    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/networkx/utils/decorators.py:921(assemble)
     1961    0.001    0.000    0.001    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/numpy/lib/_stride_tricks_impl.py:477(_broadcast_arrays_dispatcher)
        2    0.000    0.000    0.000    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/networkx/utils/decorators.py:1063(signature)
      162    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       22    0.000    0.000    0.000    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/simpy/events.py:229(__init__)
        2    0.000    0.000    0.000    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/networkx/utils/backends.py:922(__signature__)
       23    0.000    0.000    0.000    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/simpy/core.py:164(schedule)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       13    0.000    0.000    0.000    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/scipy/stats/_continuous_distns.py:2077(_rvs)
      750    0.000    0.000    0.000    0.000 /home/chachi/uni/files/year2/quartile4/4CBLW00_Urban_Mobility_Startups_For_Livable_Cities/simulation/hub.py:95(<lambda>)
        6    0.000    0.000    0.000    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/networkx/utils/decorators.py:853(_name)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 <string>:5(_parse_args_rvs)
        6    0.000    0.000    0.000    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/re/__init__.py:183(sub)
        8    0.000    0.000    0.000    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/networkx/utils/decorators.py:1199(_indent)
       12    0.000    0.000    0.000    0.000 /home/chachi/uni/files/year2/quartile4/4CBLW00_Urban_Mobility_Startups_For_Livable_Cities/simulation/main.py:23(lambda_t)
        6    0.000    0.000    0.000    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/re/__init__.py:330(_compile)
